lambda_rank_sessions_s	lambda_node_sessions_s	output_tokens_per_sec	slo_met	cohort_index	start_secs	end_secs	requests	p50_ms	p90_ms	p99_ms	max_ms
0.02	0.16	3011.229510297725	true	24	2880	3000	649	33.30033363090479	211.93088662148514	1695.7945768427448	3334.7062881075544
0.02	0.16	3011.229510297725	true	25	3000	3120	569	34.70391727751121	228.5418740391833	1580.725659132638	3252.7995872524116
0.02	0.16	3011.229510297725	true	26	3120	3240	636	42.64697983262522	298.83049799082073	2278.5390794018394	3298.364706083703
0.02	0.16	3011.229510297725	true	27	3240	3360	619	43.13264758366131	282.64907842003635	2644.2574522412415	3441.1063194484086
0.02	0.16	3011.229510297725	true	28	3360	3480	493	56.789334222230536	361.45070925031183	2929.33949715203	4899.603444506283
0.02	0.16	3011.229510297725	true	29	3480	3600	607	64.45298034032021	726.2313001818235	6446.123283943485	10216.569496318698
0.02	0.16	3011.229510297725	true	30	3600	3720	603	94.66404996055644	510.2176551048617	2583.9498244850256	4043.256356027996
0.02	0.16	3011.229510297725	true	31	3720	3840	632	126.41898179026612	537.8366092507348	4678.2214545491	9348.800510722867
0.02	0.16	3011.229510297725	true	32	3840	3960	587	134.48910877559683	861.301517335414	8548.249335593408	12043.204913271438
0.02	0.16	3011.229510297725	true	33	3960	4080	685	124.41360692537273	589.2641833128437	3552.230237962282	6657.1219996449145
0.02	0.16	3011.229510297725	true	34	4080	4200	676	112.59186036113533	623.5786170454958	3411.134195971954	7683.110641956773
0.02	0.16	3011.229510297725	true	35	4200	4320	734	114.04282395233167	545.3283829362593	2124.595589090338	5207.233108822038
0.02	0.16	3011.229510297725	true	36	4320	4440	683	102.47618936409708	684.3749152296377	2211.1428283528257	4261.716207181053
0.02	0.16	3011.229510297725	true	37	4440	4560	668	151.43566979531897	1013.1984653561634	3716.687512709871	9514.434122669627
0.02	0.16	3011.229510297725	true	38	4560	4680	754	147.88605970534263	1101.9715708722304	4198.555282809396	6614.20754862138
0.02	0.16	3011.229510297725	true	39	4680	4800	754	144.37238903246907	784.9225801287505	3187.841869153154	5272.906130762749
0.02	0.16	3011.229510297725	true	40	4800	4920	772	111.90020874846596	665.9106816167874	3068.7200538057436	5909.464152328837
0.02	0.16	3011.229510297725	true	41	4920	5040	697	52.61120778868644	327.39946893871087	3845.242575583433	12275.854710466774
0.02	0.16	3011.229510297725	true	42	5040	5160	651	62.521312110220606	424.074067022957	3336.265969955093	10102.864483194026
0.02	0.16	3011.229510297725	true	43	5160	5280	676	56.63297064302242	284.68530615327836	3896.9458677090643	6379.2035363712785
0.02	0.16	3011.229510297725	true	44	5280	5400	655	77.69243694747274	455.7089252482911	6498.689956391035	13116.686401815059
0.02	0.16	3011.229510297725	true	45	5400	5520	653	50.12709087350231	445.7704934153302	3385.885896984874	5398.116121086787
0.02	0.16	3011.229510297725	true	46	5520	5640	618	115.1930898813589	639.5879074289057	3343.9807917075937	6331.180515418964
0.02	0.16	3011.229510297725	true	47	5640	5760	651	80.14697159887874	518.2755020587138	3789.9590203974185	7389.018679179571
0.02	0.16	3011.229510297725	true	48	5760	5880	643	49.41349048567645	317.00735777703915	3347.233730609994	5747.205091590331
0.02	0.16	3011.229510297725	true	49	5880	6000	649	60.41306721908768	294.6991612816419	2718.2169675715613	6993.275981023544
0.02	0.16	3011.229510297725	true	50	6000	6120	777	135.01075292333553	606.2979586433357	7904.741754571008	12118.664966406868
0.02	0.16	3011.229510297725	true	51	6120	6240	655	150.19419418058533	1118.0861998203914	5200.801821483878	13970.811656585283
0.02	0.16	3011.229510297725	true	52	6240	6360	691	110.96689424812212	613.1883307389216	4885.588717407529	8099.379164472339
0.02	0.16	3011.229510297725	true	53	6360	6480	616	95.15757188455609	730.6793464986185	4736.75929791407	7121.112953982447
0.02	0.16	3011.229510297725	true	54	6480	6600	641	112.10696581656521	655.5601767850021	6934.486481658325	9005.97116939025
0.02	0.16	3011.229510297725	true	55	6600	6720	726	102.4238410509497	430.64552741543594	3753.203061433851	11813.747093639904
0.02	0.16	3011.229510297725	true	56	6720	6840	597	100.84013535015401	675.2642456038299	5638.136798397601	9579.24582267151
0.02	0.16	3011.229510297725	true	57	6840	6960	651	162.5967984291492	1377.995983681103	13106.084956796622	15300.43276394099
0.02	0.16	3011.229510297725	true	58	6960	7080	717	144.6833217596577	739.6800807713578	5363.590342979156	7900.835879770966
0.02	0.16	3011.229510297725	true	59	7080	7200	707	160.10776354232803	1059.5605108661393	4476.155502657482	10369.822461518197
0.02125	0.17	3146.023945206604	false	0	0	120	462	35.91525025285591	311.45637973977523	1175.5753825873942	1759.279438793783
0.02125	0.17	3146.023945206604	false	1	120	240	445	27.509317060321337	158.25446551370993	1282.1719679183664	2521.3516896801593
0.02125	0.17	3146.023945206604	false	2	240	360	405	28.938674950040877	149.4705261663512	581.7626387182997	2679.5974578180903
0.02125	0.17	3146.023945206604	false	3	360	480	427	28.454724402308784	162.95382534526652	680.6514177712234	1299.2006040244632
0.02125	0.17	3146.023945206604	false	4	480	600	424	31.707515422567667	142.12507625256876	1118.9876823792006	2406.3895715062245
0.02125	0.17	3146.023945206604	false	5	600	720	512	29.67758199201853	152.1271299639467	391.0560770689471	2079.794642696015
0.02125	0.17	3146.023945206604	false	6	720	840	717	29.151376530990092	199.05326034731831	2366.7457388005587	3200.6487662865766
0.02125	0.17	3146.023945206604	false	7	840	960	657	28.422332659829408	192.35448431345503	1602.4268946489053	3514.9518858934243
0.02125	0.17	3146.023945206604	false	8	960	1080	512	27.933612402648578	155.4497600996001	1197.0751301833684	5048.729963396909
0.02125	0.17	3146.023945206604	false	9	1080	1200	512	33.608980838153	158.24906544226	1325.1322209601128	2235.861028997988
0.02125	0.17	3146.023945206604	false	10	1200	1320	686	33.09220559594905	145.5605356995875	680.801950634372	1688.9018803490217
0.02125	0.17	3146.023945206604	false	11	1320	1440	760	34.30297009708738	239.86452769477185	1840.2821818817365	3853.831053847898
0.02125	0.17	3146.023945206604	false	12	1440	1560	745	33.2236836861739	213.4471860696977	2013.4088457246419	3404.904831425938
0.02125	0.17	3146.023945206604	false	13	1560	1680	604	43.813482589257546	341.47724702156705	2596.2382454998824	3767.688903286853
0.02125	0.17	3146.023945206604	false	14	1680	1800	686	87.96029714471842	445.82261683331126	2912.7765964211203	4059.008653719502
0.02125	0.17	3146.023945206604	false	15	1800	1920	589	40.291915850957594	280.85618228642505	1215.9797519182216	3048.0239051839817
0.02125	0.17	3146.023945206604	false	16	1920	2040	650	65.74528582791572	418.78816232369905	2818.4599498671	4684.275604389768
0.02125	0.17	3146.023945206604	false	17	2040	2160	630	60.53887228517851	355.00082632306663	2153.6761375566516	2912.48662228827
0.02125	0.17	3146.023945206604	false	18	2160	2280	559	46.04852022930572	348.45621716594906	2253.337327207673	5145.455485280763
0.02125	0.17	3146.023945206604	false	19	2280	2400	580	46.098288119537756	358.18502730799094	1530.006556005466	3642.9183558957448
0.02125	0.17	3146.023945206604	false	20	2400	2520	636	71.79539498201848	676.6984001637866	3631.774674678761	4847.3047268189475
0.02125	0.17	3146.023945206604	false	21	2520	2640	537	70.85199600624037	360.7093438280572	3143.5473320217707	6537.098071728906
0.02125	0.17	3146.023945206604	false	22	2640	2760	707	39.602496911356866	290.0374148392075	3141.520150147178	5340.54501344508
0.02125	0.17	3146.023945206604	false	23	2760	2880	579	33.99275684296299	255.3613791062162	1981.3003215252004	3465.9113855841497
0.02125	0.17	3146.023945206604	false	24	2880	3000	752	44.62403990510211	265.41206950396366	1935.7991825951378	3910.998367799948
0.02125	0.17	3146.023945206604	false	25	3000	3120	662	40.704300315155706	277.37615472733523	3001.9480461516177	9129.584213157614
0.02125	0.17	3146.023945206604	false	26	3120	3240	620	39.137801944434614	310.60359857528977	3204.64419831904	5402.343192586159
0.02125	0.17	3146.023945206604	false	27	3240	3360	547	48.639682836437714	292.87645428084966	2624.7993938823984	3492.3087037077494
0.02125	0.17	3146.023945206604	false	28	3360	3480	575	100.32538649375056	687.4348056775489	3229.2948073125804	5958.6615236257785
0.02125	0.17	3146.023945206604	false	29	3480	3600	720	85.19454278621197	435.1253780409935	2455.3983949816643	4622.723560528357
0.02125	0.17	3146.023945206604	false	30	3600	3720	630	107.73118838369555	530.1366968374173	2995.381310084349	4056.293696193279
0.02125	0.17	3146.023945206604	false	31	3720	3840	708	128.33593364121043	626.8518064066493	3110.1296063948644	6147.281738356469
0.02125	0.17	3146.023945206604	false	32	3840	3960	683	83.21170574072312	550.9850132873917	4577.944588697696	8335.548765263411
0.02125	0.17	3146.023945206604	false	33	3960	4080	751	182.84999479601538	1277.448675310552	9293.570136292601	17474.571523990562
0.02125	0.17	3146.023945206604	false	34	4080	4200	666	255.7075991394413	2193.8203628296833	10068.117842168584	18756.36077260515
0.02125	0.17	3146.023945206604	false	35	4200	4320	716	312.16312439710237	4679.308920634867	28590.559509254217	34995.94746427101
0.02125	0.17	3146.023945206604	false	36	4320	4440	857	163.5787747136419	1231.5116499003122	5476.272603881245	13474.451692749426
0.02125	0.17	3146.023945206604	false	37	4440	4560	805	127.67191918646859	640.6555158766424	2349.83877476978	8315.139870383064
0.02125	0.17	3146.023945206604	false	38	4560	4680	727	158.664359384602	968.2375389453224	5315.711145684749	8829.822037678241
0.02125	0.17	3146.023945206604	false	39	4680	4800	758	128.57634712827348	731.337315127985	4354.281393349792	5640.174379813288
0.02125	0.17	3146.023945206604	false	40	4800	4920	657	59.45505881754798	322.8184905492525	5417.110029695834	8438.862457300274
0.02125	0.17	3146.023945206604	false	41	4920	5040	704	77.54857334748522	477.49308156589933	4297.515573533558	5505.5784559936
0.02125	0.17	3146.023945206604	false	42	5040	5160	690	67.84870159208367	409.8777651398452	5972.646424148099	7834.280179949019
0.02125	0.17	3146.023945206604	false	43	5160	5280	747	129.56702515930374	601.098405626544	5826.741668226794	13929.933200923188
0.02125	0.17	3146.023945206604	false	44	5280	5400	651	82.36735960599617	546.0472973800279	5928.726827009996	12922.667743948296
0.02125	0.17	3146.023945206604	false	45	5400	5520	629	119.2044834169792	501.84016662606155	3512.879506689828	7577.760659315572
0.02125	0.17	3146.023945206604	false	46	5520	5640	599	119.69671187580389	585.1235954800384	4121.144368065865	11437.943851705313
